P_el_Halle;P_el_Schule;P_el_KiGa;W_Halle;W_Schule;W_KiGa;G_Halle;G_Schule;Gas_KiGa
8,6;3,5;0,65;0;5;4;0,0;4,9;4,7
7;3,5;0,71;0;5;0;0,0;4,9;0,4
2,2;3,7;0,6;0;5;0;0,0;5,2;0,4
3,8;6;3,8;0;7;0;0,0;7,4;0,4
2,1;8,4;4,39;1;10;0;1,1;10,4;0,4
1,6;9,5;5,21;0;11;1;0,0;11,8;1,5
1,6;8,6;7,15;0;10;6;0,0;10,6;6,8
0,8;10,7;7,07;0;13;0;0,0;13,2;0,4
0,6;7,7;8,29;0;9;0;0,0;9,5;0,4
0,5;8,7;6,5;0;10;0;0,0;10,7;0,4
0,5;7;4,57;0;8;0;0,0;8,6;0,4
0,5;5,8;3,39;0;8;0;0,0;8,1;0,4
0,5;5,3;5,14;0;7;2;0,0;7,5;2,6
0,5;3,6;2,93;0;5;4;0,0;5,1;4,7
0,5;3,2;2,11;0;4;0;0,0;4,4;0,4
0,5;3,1;1,92;0;4;0;0,0;4,4;0,4
3,9;3,3;0,79;0;4;0;0,0;4,6;0,4
3;3,4;0,82;0;5;0;0,0;4,8;0,4
1,4;5,2;0,78;0;7;0;0,0;7,4;0,4
0,9;3,6;0,75;0;5;0;0,0;5,1;0,4
0,5;3,2;0,8;0;4;0;0,0;4,6;0,4
0,4;3,3;0,83;0;5;0;0,0;4,7;0,4
0,6;3,3;0,99;0;4;0;0,0;4,6;0,4
0,5;3,2;0,87;0;4;0;0,0;4,5;0,4
0,7;3,2;0,89;0;4;5;0,0;4,5;5,8
0,7;3,4;0,87;1;5;2;1,1;4,7;2,6
0,6;3,3;0,79;0;5;0;0,0;4,7;0,4
0,5;3,5;0,78;0;5;0;0,0;4,9;0,4
0,5;3,4;0,81;0;5;0;0,0;4,8;0,4
0,5;4,9;0,78;0;7;0;0,0;6,9;0,4
0,5;4,8;0,8;0;7;0;0,0;6,8;0,4
0,5;4;0,81;0;5;0;0,0;5,7;0,4
0,5;4,3;0,86;0;6;0;0,0;6,0;0,4
0,5;3,7;0,8;0;5;0;0,0;5,2;0,4
0,5;3,1;0,8;0;4;0;0,0;4,3;0,4
0,5;3,3;0,79;0;4;0;0,0;4,6;0,4
0,5;3,1;1,21;0;4;0;0,0;4,4;0,4
0,5;3,2;0,8;0;4;0;0,0;4,5;0,4
0,5;3,3;0,84;0;4;0;0,0;4,6;0,4
0,6;3,8;0,8;0;5;0;0,0;5,4;0,4
0,4;3,2;0,82;0;4;0;0,0;4,6;0,4
0,6;3,9;0,84;0;5;0;0,0;5,6;1,0
0,7;5,1;0,67;0;7;4;0,0;7,2;4,3
0,6;3,3;1,09;0;5;4;0,0;4,7;4,3
0,6;3,3;0,83;1;4;0;1,1;4,6;0,0
0,6;3,4;0,79;0;5;0;0,0;4,7;0,0
0,6;3,2;0,83;0;4;0;0,0;4,6;0,0
0,5;3,3;0,83;0;5;0;0,0;4,6;0,0
0,7;3,2;0,98;0;4;0;0,0;4,5;0,0
0,7;3,2;0,62;0;4;0;0,0;4,6;0,0
0,7;3,9;0,84;0;5;0;0,0;5,5;0,0
0,5;3,4;1,34;0;5;0;0,0;4,8;0,0
0,5;3,3;0,67;0;5;0;0,0;4,7;0,0
0,5;3,3;0,8;0;4;0;0,0;4,6;1,5
0,5;3,3;0,77;0;4;0;0,0;4,6;2,4
0,5;3,2;0,84;0;4;0;0,0;4,5;0,0
0,5;3,2;0,91;0;4;0;0,0;4,5;0,0
0,5;3,3;0,73;0;5;0;0,0;4,6;0,0
0,5;3,2;1;0;4;0;0,0;4,6;0,0
0,5;3,3;0,67;0;5;0;0,0;4,7;0,0
0,5;3,3;0,86;0;5;0;0,0;4,7;0,0
0,5;3,2;0,78;0;4;5;0,0;4,6;5,3
0,5;3,4;0,78;0;5;2;0,0;4,8;2,1
0,5;3,2;0,92;1;4;0;1,1;4,5;2,2
0,5;3,3;0,81;0;4;0;0,0;4,6;1,2
0,6;3,9;1,18;0;5;0;0,0;5,4;0,0
0,7;4,9;0,88;0;7;0;0,0;7,0;0,0
0,6;3,5;0,85;0;5;0;0,0;4,9;0,0
0,6;3,3;0,79;0;5;0;0,0;4,7;0,0
0,5;3,3;0,77;0;4;0;0,0;4,6;0,3
0,5;3,2;0,83;0;4;0;0,0;4,5;0,4
0,5;3,3;0,84;0;5;0;0,0;4,7;0,4
0,7;3,2;0,85;0;4;0;0,0;4,5;0,4
0,7;3,3;0,79;0;5;0;0,0;4,7;0,4
2,1;3,5;0,78;0;5;2;0,0;5,0;2,6
3,9;5,7;4,87;0;8;6;0,0;8,0;6,9
2,3;9,3;4,6;0;11;3;0,0;11,5;3,7
2,5;7,9;9,5;0;9;0;0,0;9,8;0,4
2;8;8,08;0;10;0;0,0;9,9;0,4
1,9;8;8,72;0;10;0;0,0;9,9;0,4
2,1;6,4;6,75;0;8;6;0,0;7,9;6,9
1,5;5,2;5,94;0;7;0;0,0;7,3;0,4
0,8;4,8;5,27;0;7;0;0,0;6,8;0,4
0,8;4,3;2,33;0;6;0;0,0;6,1;0,4
0,9;3,7;2,11;0;5;0;0,0;5,2;1,0
0,9;4;2,71;1;5;0;1,1;5,7;0,0
0,9;3,4;4,07;0;5;0;0,0;4,8;0,0
0,9;3,2;0,95;0;4;0;0,0;4,5;0,0
0,9;3,2;0,58;0;4;0;0,0;4,5;0,0
0,9;3,3;0,6;0;4;0;0,0;4,6;2,7
1,5;4,8;0,58;0;6;0;0,0;6,7;0,9
1,3;3,2;0,61;0;4;0;0,0;4,6;0,0
0,9;3,1;0,62;0;4;0;0,0;4,4;0,0
0,9;3,1;0,56;0;4;0;0,0;4,4;0,0
0,9;3,1;0,49;0;4;5;0,0;4,3;5,3
0,9;3,1;1,12;0;4;2;0,0;4,4;2,1
1;3,1;0,7;0;4;0;0,0;4,4;0,0
1,1;3,1;0,51;0;4;0;0,0;4,3;0,0
2,4;3,7;0,65;0;5;0;0,0;5,3;0,0
3,9;6,1;3,19;0;7;0;0,0;7,5;0,0
2,7;6,9;3,95;0;8;0;0,0;8,5;0,0
2,7;7,7;8,59;0;9;0;0,0;9,5;0,0
2,5;6,1;8,14;0;7;0;0,0;7,5;0,3
2,7;6,5;6,93;0;8;5;0,0;8,0;9,0
2,7;6,2;6,1;0;7;6;0,0;7,7;6,4
1,7;4,6;5,97;0;6;0;0,0;6,5;0,0
1,5;3,8;6,17;0;5;0;0,0;5,3;0,0
1,5;3,7;3,65;0;5;0;0,0;5,2;0,0
1,5;3,9;2,61;0;5;0;0,0;5,5;0,0
1,5;4,4;4,3;0;6;0;0,0;6,2;0,0
1,5;4;3,23;0;5;0;0,0;5,6;0,0
1,5;3,6;3,07;0;5;0;0,0;5,1;0,0
1,5;3,2;0,66;1;4;0;1,1;4,5;0,0
1,6;3,5;0,67;0;5;0;0,0;4,9;0,0
2,2;4,8;0,7;0;7;0;0,0;6,8;0,0
1,3;3,3;0,65;0;4;0;0,0;4,6;0,0
0,9;3,1;1;0;4;0;0,0;4,4;0,0
0,9;3,1;0,68;0;4;0;0,0;4,4;0,2
0,9;3,2;0,69;0;4;2;0,0;4,5;2,4
0,9;3,1;0,64;0;4;5;0,0;4,3;5,6
1;3,2;0,85;0;4;0;0,0;4,4;0,3
2,7;3,1;0,6;0;4;0;0,0;4,4;0,3
3,5;3,4;0,72;0;5;0;0,0;4,8;0,3
4,9;5,9;2,37;0;7;0;0,0;7,2;0,3
3,8;8,2;5,25;0;10;0;0,0;10,1;0,3
3,9;7,2;10,57;0;9;3;0,0;8,9;3,5
3,8;7,2;7,02;0;9;5;0,0;8,8;5,6
3,9;7,1;6,43;0;8;0;0,0;8,7;0,3
3,1;6,6;7,14;0;8;2;0,0;8,1;2,4
1,2;6;6,21;0;7;4;0,0;7,4;4,6
1,2;4,5;6;0;6;0;0,0;6,4;0,3
1,2;3,3;4,89;0;5;0;0,0;4,7;2,3
1,2;3,2;5,08;0;4;0;0,0;4,5;1,3
1,2;3,3;3,59;0;5;0;0,0;4,6;0,0
1,2;3,3;4,09;0;4;0;0,0;4,6;0,0
1,2;3,2;1,34;0;4;0;0,0;4,4;0,0
1,2;3,2;0,73;0;4;0;0,0;4,5;0,0
1,3;3,6;0,69;0;5;0;0,0;5,0;0,0
2;4,9;0,73;0;7;0;0,0;6,9;0,0
1,5;3,3;0,67;1;4;0;1,1;4,6;0,0
1,2;3,1;0,65;0;4;0;0,0;4,4;1,3
1,2;4;0,73;0;5;0;0,0;5,6;1,1
1,2;2,8;1;0;4;0;0,0;4,0;0,0
1,2;3;0,67;0;4;1;0,0;4,3;1,1
1,4;3,1;0,72;0;4;7;0,0;4,3;7,4
1,6;3;1,04;0;4;0;0,0;4,3;0,0
0,8;3,3;0,58;0;5;0;0,0;4,7;0,0
2,2;4,1;3,36;0;6;0;0,0;5,8;0,0
0,4;6,5;3,89;0;8;0;0,0;8,0;0,0
1,3;7;7,68;0;8;4;0,0;8,6;4,3
0,7;6,8;7,97;4,4;8;0;5,3;8,4;0,2
1,1;7,2;7,3;14,1;9;0;19,8;8,9;3,2
0,7;6,3;6,28;22,7;8;0;30,1;7,8;0,3
0,9;5,4;8,13;21,6;7;0;28,5;7,6;0,3
0,8;3,8;6,8;21,4;5;2;28,8;5,4;2,4
0,7;3,2;2,63;21,3;4;5;28,4;4,6;5,3
0,8;3;3,68;22,5;4;0;26,8;4,3;0,0
0,7;3,3;1,88;9,8;4;0;12,1;4,6;0,0
0,8;3,1;2,83;8,8;4;0;10,2;4,4;0,0
0,7;3,3;3,67;7,7;4;0;8,9;4,6;0,0
0,7;3,3;1,12;8,7;4;0;10,7;4,6;0,0
0,7;3,8;0,67;6,2;5;0;7,4;5,3;0,0
1,4;5;0,66;8,5;7;0;9,8;7,0;0,0
1,2;3,4;0,64;8,9;5;0;10,8;4,8;0,0
0,7;3,2;0,7;5,1;4;0;6,2;4,5;0,0
0,8;3,2;0,64;8,2;4;0;9,4;4,5;0,3
0,7;3,3;0,64;8,8;4;0;10,7;4,6;0,4
0,7;3,3;0,7;5;4;0;6,1;4,6;0,4
0,9;3,2;0,68;8,9;4;0;10,3;4,5;0,4
0,9;3,3;0,61;6,3;4;0;7,9;4,6;0,4
0,9;3,7;0,53;5,8;5;4;6,8;5,3;4,7
0,5;4,8;3,56;1,3;7;4;1,4;6,8;4,7
0,2;8;4,01;0,1;10;0;0,1;9,9;0,4
0,1;8,3;5,56;0;10;0;0,0;10,2;0,4
0,1;7,8;13,53;0;9;0;0,0;9,6;0,4
0,1;5,6;9,24;0;8;0;0,0;7,9;0,4
0,1;4,7;8,93;0;6;4;0,0;6,7;4,7
0,1;4,2;8,25;1;6;3;1,1;5,9;3,7
0,1;2,9;4,64;0;4;0;0,0;4,1;0,4
0,1;2,9;3,57;0;4;0;0,0;4,1;0,4
0,1;3,1;4;0;4;0;0,0;4,3;0,4
0,1;2,9;1,77;0;4;0;0,0;4,1;0,4
0,1;2,8;0,66;0;4;0;0,0;3,9;0,4
0,1;2,9;2,08;1;4;0;1,1;4,0;0,4
0,1;2,8;1,46;0;4;1;0,0;4,0;1,8
0,2;3,2;0,66;0;4;4;0,0;4,6;4,3
0,3;4,6;0,82;0;6;0;0,0;6,4;0,0
0,2;2,9;0,69;0;4;0;0,0;4,1;0,0
0,1;2,9;0,82;0;4;0;0,0;4,1;0,0
0,1;2,9;0,57;1;4;0;1,1;4,1;0,2
0,1;2,8;0,54;0;4;0;0,0;3,9;0,3
0,1;2,9;0,67;0;4;0;0,0;4,0;0,3
0,3;2,9;0,91;0;4;0;0,0;4,1;0,3
0,3;2,8;0,97;0;4;0;0,0;4,0;0,3
0,2;3;0,49;0;4;0;0,0;4,3;0,3
0,2;3;0,69;0;4;0;0,0;4,3;0,3
0,2;2,8;0,81;0;4;0;0,0;3,9;0,3
0,1;2,9;0,58;0;4;0;0,0;4,1;0,3
0,1;2,7;0,57;0;4;1;0,0;3,9;1,4
0,1;2,7;0,77;0;4;6;0,0;3,9;6,7
0,1;2,6;0,62;0;4;0;0,0;3,7;0,3
0,1;2,7;0,69;0;4;0;0,0;3,8;0,3
0,1;2,7;0,68;0;4;0;0,0;3,8;0,3
0,1;2,8;0,6;0;4;0;0,0;3,9;0,3
0,1;2,8;0,71;0;4;0;0,0;3,9;0,3
0,1;2,9;0,83;0;4;0;0,0;4,1;0,3
0,1;2,7;0,68;0;4;0;0,0;3,7;0,3
0,1;2,8;0,75;0;4;0;0,0;4,0;0,3
0,1;2,8;0,76;0;4;0;0,0;4,0;0,3
0,2;3,5;0,72;0;5;0;0,0;4,9;0,3
0,3;4,5;0,65;0;6;0;0,0;6,4;0,3
0,1;3;0,66;0;4;0;0,0;4,3;0,3
0,1;2,9;0,72;0;4;0;0,0;4,1;0,3
0,1;2,8;0,68;0;4;4;0,0;4,0;4,6
0,1;2,9;0,73;0;4;3;0,0;4,1;3,5
0,1;2,9;0,72;0;4;0;0,0;4,0;0,3
0,2;2,8;0,69;0;4;0;0,0;3,9;0,3
0,3;3;0,77;0;4;0;0,0;4,2;0,3
0,2;3;0,6;0;4;0;0,0;4,2;0,3
0,2;2,9;0,66;0;4;0;0,0;4,1;0,3
0,2;2,8;0,76;0;4;0;0,0;3,9;0,3
0,1;2,8;0,9;0;4;0;0,0;4,0;0,3
0,1;2,6;0,69;0;4;0;0,0;3,7;0,3
0,1;2,8;0,66;0;4;0;0,0;3,9;0,3
0,1;2,7;0,64;0;4;0;0,0;3,8;0,3
0,1;2,7;0,71;0;4;0;0,0;3,9;0,3
0,1;2,7;0,68;0;4;0;0,0;3,9;0,3
0,1;2,7;0,59;0;4;0;0,0;3,7;0,3
0,1;2,7;0,73;0;4;0;0,0;3,8;0,3
0,1;2,7;0,68;0;4;6;0,0;3,9;6,7
0,1;2,6;1,13;0;4;0;0,0;3,7;0,3
0,1;2,9;0,48;0;4;0;0,0;4,1;0,3
0,1;2,8;0,72;0;4;0;0,0;4,0;0,3
0,2;3,5;0,78;0;5;0;0,0;5,0;0,3
0,3;4,6;0,52;0;6;0;0,0;6,5;0,3
0,2;3;0,66;0;4;0;0,0;4,2;0,3
0,1;2,8;1,01;0;4;0;0,0;4,0;0,3
0,2;2,9;0,6;0;4;0;0,0;4,1;0,3
0,1;2,9;0,66;1;4;0;1,1;4,0;0,3
0,1;2,9;0,71;0;4;0;0,0;4,0;0,3
0,3;2,8;0,66;0;4;0;0,0;4,0;0,3
0,3;2,9;0,64;0;4;0;0,0;4,0;0,3
0,3;3,5;0,7;0;5;2;0,0;5,0;2,5
0,2;4,1;3,35;0;6;7;0,0;5,8;7,8
0,2;7,1;4,7;0;8;1;0,0;8,7;1,4
0,1;6,3;7,49;0;7;0;0,0;7,7;0,3
0,1;5,5;9,5;0;8;0;0,0;7,8;0,3
0,1;5,4;7,6;0;7;2;0,0;7,6;2,5
0,1;4,1;6,17;0;6;4;0,0;5,8;8,4
0,1;3,4;7,47;0;5;0;0,0;4,8;0,1
0,1;2,9;5,3;0;4;0;0,0;4,1;0,0
0,1;2,8;2,3;0;4;0;0,0;4,0;0,0
0,1;2,8;3,56;0;4;0;0,0;3,9;0,0
0,1;3,2;2,72;0;4;4;0,0;4,5;5,4
0,1;3,3;1,06;0;4;0;0,0;4,6;1,6
0,1;4,2;2,33;0;6;0;0,0;5,9;0,0
0,1;3,9;1,07;0;5;0;0,0;5,5;0,0
0,2;3,6;0,9;0;5;0;0,0;5,1;0,0
0,3;4,5;0,66;0;6;0;0,0;6,4;0,0
0,1;3;0,63;0;4;0;0,0;4,3;2,7
0,1;2,9;0,65;0;4;0;0,0;4,1;0,4
0,1;2,8;0,39;0;4;0;0,0;3,9;0,0
0,1;2,9;0,11;0;4;4;0,0;4,1;4,3
0,1;2,8;2,03;0;4;0;0,0;4,0;0,0
0,3;2,9;0,36;0;4;0;0,0;4,0;0,0
0,3;2,9;1,03;0;4;0;0,0;4,0;0,0
0,2;3,1;0,8;0;4;0;0,0;4,4;0,0
0,1;4;2,84;0;5;0;0,0;5,6;0,0
0,2;5,8;4,43;0;8;0;0,0;8,1;0,0
0,1;4,7;9,6;0;6;0;0,0;6,6;0,0
0,1;4;7,68;0;5;3;0,0;5,6;3,2
0,1;4,9;6,1;0;7;5;0,0;7,0;5,3
0,1;3,6;6,92;0;5;0;0,0;5,1;0,0
0,1;3;6,15;0;4;0;0,0;4,3;0,0
0,1;3,2;6,31;0;4;0;0,0;4,5;1,7
0,1;2,8;5,01;0;4;4;0,0;4,0;5,7
0,1;3,1;3,22;0;4;0;0,0;4,4;0,0
0,1;3;3,59;0;4;0;0,0;4,2;0,0
0,1;2,9;1,79;0;4;0;0,0;4,1;0,0
0,1;2,9;1,88;0;4;0;0,0;4,1;0,0
0,1;2,8;2,45;0;4;0;0,0;4,0;0,0
0,2;3,9;0,52;0;5;0;0,0;5,6;0,0
0,3;4,6;0,5;0;6;0;0,0;6,4;0,0
0,1;3,1;0,58;0;4;0;0,0;4,3;0,0
0,1;2,9;0,52;0;4;0;0,0;4,1;0,0
0,1;2,9;0,56;0;4;0;0,0;4,1;0,2
0,1;2,9;0,58;0;4;0;0,0;4,1;0,3
0,1;2,9;0,55;0;4;1;0,0;4,1;1,4
0,2;2,9;0,51;0;4;5;0,0;4,1;5,6
0,3;3;1,11;0;4;0;0,0;4,2;0,3
0,2;4;1,22;0;6;0;0,0;5,7;0,3
0,1;5;2,6;0;7;0;0,0;7,1;0,3
0,2;5,4;5,18;0;7;0;0,0;7,6;0,3
0,1;5;7,01;0;7;0;0,0;7,0;0,3
0,1;3,9;8,45;0;5;3;0,0;5,5;3,5
0,1;5,3;8,13;0;7;3;0,0;7,4;3,5
0,1;4,7;6,23;0;6;0;0,0;6,6;0,3
0,1;3,8;6,61;0;5;0;0,0;5,4;0,3
0,1;3,1;5,17;0;4;0;0,0;4,4;0,3
0,1;3,4;2,96;0;5;2;0,0;4,8;3,5
0,1;3,2;1,86;0;4;4;0,0;4,6;4,6
0,1;2,9;3,64;0;4;0;0,0;4,1;0,0
0,1;2,9;1,61;0;4;0;0,0;4,1;0,0
0,1;2,9;0,93;0;4;0;0,0;4,1;0,0
0,1;2,9;1,76;0;4;0;0,0;4,1;0,0
0,1;3,6;0,8;0;5;0;0,0;5,0;0,0
0,3;4,6;0,56;0;6;0;0,0;6,5;0,0
0,1;3,1;0,58;0;4;0;0,0;4,4;0,0
0,1;2,9;0,92;0;4;0;0,0;4,1;0,0
0,1;3;0,54;0;4;0;0,0;4,3;0,0
0,1;3;0,55;0;4;0;0,0;4,2;0,0
0,1;3;0,57;0;4;0;0,0;4,2;0,0
0,2;2,9;0,5;0;4;0;0,0;4,1;0,0
0,3;3;0,57;0;4;3;0,0;4,2;3,2
0,2;3,4;0,73;0;5;4;0,0;4,8;4,3
0,1;3,7;4,15;0;5;0;0,0;5,2;0,0
0,2;5,1;5,29;0;7;0;0,0;7,2;3,5
0,1;4,7;9,98;0;6;0;0,0;6,6;0,3
0,1;4,2;7,76;0;6;3;0,0;6,0;3,2
0,1;4,1;7,68;0;6;1;0,0;5,7;1,1
0,1;2,8;6,58;0;4;0;0,0;4,0;0,0
0,1;2,6;8,54;0;4;0;0,0;3,7;0,0
0,1;2,7;4,86;0;4;2;0,0;3,8;3,6
0,1;2,7;2,21;0;4;3;0,0;3,8;4,6
0,1;2,7;2,58;0;4;0;0,0;3,8;0,0
0,1;2,7;3,24;0;4;0;0,0;3,8;0,0
0,1;3,1;0,71;0;4;0;0,0;4,3;0,0
0,1;2,9;0,66;0;4;0;0,0;4,1;0,0
0,1;2,8;0,92;0;4;0;0,0;4,0;0,0
0,1;3,6;1,59;0;5;4;0,0;5,1;4,3
0,3;4,6;1,78;0;6;0;0,0;6,5;0,0
0,1;3;0,55;0;4;0;0,0;4,3;0,0
0,1;2,9;0,67;0;4;0;0,0;4,1;0,0
0,1;2,9;0,66;0;4;0;0,0;4,1;0,4
0,1;2,8;0,58;0;4;0;0,0;3,9;0,4
0,1;2,9;0,65;0;4;0;0,0;4,1;0,4
0,2;2,9;0,69;0;4;0;0,0;4,1;0,4
0,2;2,9;0,68;0;4;0;0,0;4,0;0,4
0,2;3;1,12;0;4;3;0,0;4,3;3,6
0,1;3;2,63;0;4;4;0,0;4,2;4,7
0,2;2,9;4,12;0;4;0;0,0;4,0;0,4
0,1;2,8;4,15;0;4;0;0,0;4,0;0,4
0,1;2,7;11,64;0;4;0;0,0;3,9;0,4
0,1;2,7;10,92;0;4;0;0,0;3,8;0,4
0,1;2,7;8,64;0;4;0;0,0;3,8;0,4
0,1;2,7;8,62;0;4;0;0,0;3,8;0,4
0,1;2,7;4,63;0;4;0;0,0;3,8;0,4
0,1;2,6;3,3;0;4;6;0,0;3,7;6,8
0,1;2,8;3,58;0;4;1;0,0;3,9;1,5
0,1;2,9;2,16;0;4;0;0,0;4,0;0,4
0,1;2,8;0,79;0;4;0;0,0;3,9;0,4
0,1;2,8;0,75;0;4;0;0,0;4,0;0,4
0,1;3,1;2,25;0;4;0;0,0;4,3;0,4
0,2;4,5;0,86;0;6;0;0,0;6,3;0,4
0,3;4,6;0,67;0;6;0;0,0;6,5;0,4
0,1;3,1;0,68;0;4;0;0,0;4,4;0,4
0,1;2,9;0,67;0;4;0;0,0;4,1;0,4
0,1;2,8;0,7;0;4;0;0,0;4,0;0,4
0,1;3;1,03;0;4;0;0,0;4,2;0,4
0,1;3,3;0,67;0;5;0;0,0;4,7;0,4
0,2;2,9;0,7;0;4;0;0,0;4,1;0,4
0,3;3;0,67;0;4;0;0,0;4,2;0,4
0,3;3,8;0,62;0;5;1;0,0;5,3;1,5
0,1;3,2;1,02;0;4;5;0,0;4,5;5,8
0,2;2,9;0,89;0;4;0;0,0;4,1;0,4
0,1;2,9;0,8;0;4;0;0,0;4,1;0,4
0,1;2,8;0,87;0;4;0;0,0;4,0;0,4
0,1;2,8;1,5;0;4;0;0,0;3,9;0,4
0,1;2,7;1,2;0;4;0;0,0;3,9;0,4
0,1;2,8;0,61;0;4;0;0,0;3,9;0,4
0,1;2,7;0,61;0;4;0;0,0;3,8;0,4
0,1;2,7;0,59;0;4;0;0,0;3,9;0,4
0,1;2,8;0,63;0;4;0;0,0;3,9;0,4
0,1;2,7;0,93;0;4;0;0,0;3,8;0,4
0,1;2,9;0,59;0;4;0;0,0;4,0;0,4
0,1;2,9;0,62;0;4;0;0,0;4,0;0,3
0,1;2,8;0,62;0;4;0;0,0;4,0;0,3
0,1;3,6;0,6;0;5;0;0,0;5,0;0,3
0,3;4,7;0,59;0;6;0;0,0;6,6;0,3
0,1;3;0,65;0;4;2;0,0;4,3;2,5
0,1;2,9;0,71;0;4;4;0,0;4,1;4,6
0,1;2,9;0,57;0;4;0;0,0;4,1;0,3
0,1;2,9;0,61;0;4;0;0,0;4,1;0,3
0,1;2,8;0,66;0;4;0;0,0;4,0;0,3
0,2;3;0,55;0;4;0;0,0;4,2;0,3
0,3;2,9;0,63;0;4;0;0,0;4,1;0,3
0,2;3,2;0,66;0;4;0;0,0;4,5;0,3
0,1;3;0,79;0;4;0;0,0;4,2;0,3
0,2;2,9;0,74;0;4;0;0,0;4,0;0,3
0,1;2,8;0,58;0;4;0;0,0;3,9;0,3
0,1;2,8;0,59;0;4;1;0,0;3,9;1,4
0,1;2,7;0,65;0;4;3;0,0;3,8;3,5
0,1;2,7;0,64;0;4;0;0,0;3,8;0,3
0,1;2,7;0,56;0;4;0;0,0;3,8;0,3
0,1;2,8;0,62;0;4;0;0,0;4,0;0,3
0,1;2,7;0,63;0;4;0;0,0;3,8;0,3
0,1;2,8;0,59;0;4;0;0,0;3,9;0,3
0,1;2,9;0,74;0;4;0;0,0;4,1;0,3
0,1;3;0,48;0;4;0;0,0;4,2;0,3
0,1;2,9;0,66;0;4;0;0,0;4,0;0,3
0,1;2,9;0,62;0;4;2;0,0;4,1;2,5
0,2;3,9;0,66;0;5;3;0,0;5,6;3,5
0,3;4,6;0,54;0;6;0;0,0;6,4;0,3
0,1;3;0,98;0;4;0;0,0;4,3;2,5
0,1;3;0,72;0;4;0;0,0;4,2;0,0
0,1;2,9;0,59;0;4;0;0,0;4,1;0,0
0,1;2,9;0,49;0;4;0;0,0;4,1;0,0
0,1;2,9;0,61;0;4;0;0,0;4,1;1,7
0,2;3;0,59;0;4;0;0,0;4,2;0,6
0,3;2,9;0,64;0;4;0;0,0;4,1;0,0
0,2;3,4;0,66;0;5;2;0,0;4,8;2,1
0,1;3;4,01;0;4;4;0,0;4,2;4,3
0,2;2,9;4,78;0;4;0;0,0;4,1;0,0
0,1;2,8;6,22;0;4;0;0,0;4,0;0,0
0,1;2,8;8,67;0;4;0;0,0;4,0;0,0
0,1;2,8;9,56;0;4;3;0,0;4,0;5,5
0,1;2,8;7,22;0;4;2;0,0;4,0;3,6
0,1;3;7,88;0;4;0;0,0;4,2;0,0
0,1;2,7;5,05;0;4;0;0,0;3,9;0,0
0,1;2,6;2,28;0;4;0;0,0;3,7;0,0
0,1;2,7;3,84;0;4;0;0,0;3,8;0,0
0,1;2,8;1,2;0;4;1;0,0;3,9;1,1
0,1;2,8;0,6;0;4;4;0,0;3,9;4,3
0,1;2,9;0,65;0;4;0;0,0;4,1;0,0
0,1;3;1,02;0;4;0;0,0;4,2;0,0
0,2;3,9;4,66;0;5;0;0,0;5,5;0,0
0,3;4,6;0,69;0;6;0;0,0;6,5;1,1
0,1;2,9;0,65;0;4;0;0,0;4,0;2,9
0,1;3,1;0,57;0;4;0;0,0;4,4;0,0
0,1;3;0,63;0;4;0;0,0;4,2;0,2
0,1;2,9;0,6;0;4;0;0,0;4,1;0,3
0,1;3;0,63;0;4;0;0,0;4,2;0,3
0,2;2,9;0,59;0;4;3;0,0;4,1;3,5
0,2;2,9;0,68;0;4;1;0,0;4,0;1,4
0,2;3,3;1,29;0;5;0;0,0;4,7;0,3
0,1;3;5,83;0;4;0;0,0;4,2;0,3
0,3;3,6;6,23;0;5;0;0,0;5,1;0,3
0,1;4,1;4,73;0;6;0;0,0;5,7;0,3
0,1;2,8;5,17;0;4;0;0,0;3,9;0,3
0,1;2,8;9,11;0;4;0;0,0;4,0;0,6
0,1;2,8;6,7;0;4;7;0,0;3,9;7,4
0;6,6;7,8;0;8;0;0,0;8,1;0,0
0;2,4;3,84;0;3;0;0,0;3,4;0,4
0;2,1;2,54;0;3;0;0,0;2,9;2,1
0;3,2;5,82;0;4;0;0,0;4,5;0,0
0,3;5,5;2,89;0;8;0;0,0;7,8;0,0
0,3;4,4;1,78;0;6;0;0,0;6,2;0,0
0,3;3,5;1,84;0;5;0;0,0;4,9;0,0
0,3;3,1;1,39;0;4;0;0,0;4,4;0,0
0,4;3,9;3,06;0;5;0;0,0;5,4;0,0
0,4;4,5;1,29;0;6;0;0,0;6,4;1,2
0,3;2,9;1,24;0;4;0;0,0;4,1;1,9
0,1;2,7;0,65;0;4;0;0,0;3,8;0,0
0,1;2,7;0,5;0;4;0;0,0;3,8;0,0
0,1;2,7;0,64;0;4;0;0,0;3,8;0,0
0,1;2,7;0,64;0;4;0;0,0;3,8;0,0
0,3;2,6;0,64;0;4;4;0,0;3,6;4,3
0,3;2,7;0,66;0;4;2;0,0;3,8;5,7
0,2;2,9;0,95;0;4;0;0,0;4,0;0,0
0,2;3;3,3;0;4;0;0,0;4,2;0,0
0,2;2,5;6,29;0;3;0;0,0;3,6;0,0
0,1;2,5;6,53;0;3;0;0,0;3,6;0,0
0,1;2,4;7,59;0;3;0;0,0;3,4;0,0
0,1;2,5;8,32;0;3;0;0,0;3,5;0,0
0,1;2,3;8,2;0;3;6;0,0;3,3;6,5
0,1;2,3;8,55;0;3;0;0,0;3,3;0,2
0,1;2,4;6,43;0;3;0;0,0;3,4;0,2
