P_el_Halle;P_el_Schule;P_el_KiGa;W_Halle;W_Schule;W_KiGa;G_Halle;G_Schule;Gas_KiGa
1,2;5,2;4,76;27,4;7;11;34,3;7,5;11,7
1,7;5;6,37;36;7;8;43,6;7,0;8,5
11,7;4,7;4,64;35;6;0;42,6;6,6;0,0
12,9;4,6;1,85;29,3;6;0;35,3;6,5;0,0
11,8;3,4;0,62;34,1;5;10;41,6;4,7;10,6
1,7;3,7;1,25;18,8;5;1;23,9;5,3;1,1
0,6;2;0,97;3;7;4;3,3;7,8;4,3
0,3;1,8;0,65;0;21;8;0,0;28,3;8,5
0,3;2,1;0,74;0;22;1;0,0;30,0;1,1
0,3;2,7;0,7;0,7;15;8;0,9;20,6;8,5
0,5;3,1;0,89;29,2;20;8;36,3;26,0;8,5
1,3;3,5;0,49;35,9;17;6;43,5;24,4;6,4
2,1;3,4;0,74;35,9;17;14;43,4;24,7;14,9
8;3,6;0,55;36;23;13;43,7;30,5;13,8
10,2;7,7;0,61;36;19;9;43,7;25,7;9,6
9,8;17,3;0,93;36;38;9;43,8;46,2;9,6
7,6;18,4;0,86;35,9;31;27;43,5;38,2;28,7
4;17,5;5,34;35,9;38;14;43,4;46,4;14,9
3,7;15,5;4,67;35,8;27;10;43,4;34,6;10,6
2,3;18,8;4,25;35,8;40;9;43,3;48,1;9,6
0,8;14,1;4,61;16,3;35;9;21,7;43,7;9,6
1,4;12,2;4,86;16,8;33;8;20,3;41,4;8,5
1,6;13,7;5,27;7,9;27;8;11,0;34,0;8,5
1,3;9,7;5,82;1;27;6;1,1;35,3;6,4
2,9;7,5;2,51;1;25;6;3,7;32,9;6,4
6,2;6,2;3,74;32,8;10;7;40,1;10,3;7,4
0,6;6,2;2,27;17,3;8;0;22,1;7,8;0,0
0,6;5,9;1,33;19,9;7;0;24,0;7,3;0,0
0,5;6,4;0,52;7;8;0;8,0;7,8;0,0
1,5;6,1;0,53;3,9;7;0;6,7;7,5;0,0
0,6;2,8;0,52;3;4;9;3,3;3,9;9,6
0,3;2,6;0,57;0;10;4;0,0;11,9;4,3
0,3;2,6;0,98;0;22;0;0,0;29,2;0,0
0,3;2,6;0,31;0,7;12;10;0,9;18,6;10,6
0,5;2,7;1,3;29,3;22;2;36,4;29,6;2,1
1,4;3,2;0,68;35,9;13;0;43,4;19,4;0,0
10,6;3;0,27;35,9;21;16;43,5;29,0;17,0
13,7;3,2;2,26;36;17;16;43,7;23,9;17,0
10,3;6,4;0,63;35,8;21;10;43,4;28,8;10,6
