P_el_Halle;P_el_Schule;W_Halle;W_Schule
18,2;22,2;21,7;40
19,7;23,5;55,7;45
19,9;13,6;32,6;27
13,4;11,0;21,9;25
19,7;10,9;21,8;25
19,4;9,3;21,9;25
11,3;8,8;21,9;27
1,2;7,7;21,8;20
2,0;6,5;21,9;20
1,5;3,4;12,1;24
0,5;3,3;1,7;17
0,7;3,2;8,4;18
0,9;3,3;21,4;21
0,9;3,4;21,8;16
3,2;3,5;21,8;18
15,5;3,3;21,8;24
14,3;4,5;22,7;17
7,6;12,6;68,2;28
6,7;32,8;44,4;59
6,3;27,4;56,7;44
2,1;25,0;45,3;43
1,5;21,7;22,7;45
14,8;21,3;22,6;37
13,8;16,0;33,0;32
12,2;14,0;22,6;31
12,8;16,1;21,7;36
1,7;11,0;22,8;24
5,9;9,0;22,4;22
14,8;10,9;33,9;28
14,8;9,8;67,1;29
15,1;10,1;21,7;23
14,8;8,6;32,9;22
12,5;7,5;21,6;21
1,7;3,3;55,8;24
0,8;3,2;20,7;16
0,8;3,3;21,7;16
0,9;3,2;4,0;17
0,8;3,4;9,5;24
1,5;3,4;21,2;16
2,0;3,3;22,3;16
9,5;4,4;21,6;21
4,0;11,4;22,4;31
2,2;30,4;33,6;48
2,0;26,8;45,2;44
13,4;29,0;45,1;47
10,3;24,3;23,3;43
13,9;29,2;22,4;52
9,9;21,9;22,6;38
12,3;17,9;21,6;33
13,6;16,8;22,6;35
10,7;9,3;22,6;28
14,0;9,3;33,8;23
14,5;10,8;21,3;25
14,6;9,1;22,4;23
14,8;8,8;55,6;25
14,9;7,1;33,0;25
5,6;6,2;32,9;20
2,7;3,5;33,8;14
1,8;3,4;20,4;17
1,8;3,5;21,7;16
1,8;3,4;23,8;17
1,8;3,5;22,4;19
6,5;3,7;22,0;22
14,1;3,7;32,8;16
14,0;4,7;22,4;18
5,5;11,7;56,7;26
14,2;29,6;56,7;49
10,4;27,0;33,9;49
14,7;30,8;33,9;48
14,7;24,4;33,0;41
11,7;22,8;22,6;40
4,5;20,3;22,7;38
1,7;14,6;22,7;34
1,7;13,3;21,7;27
11,8;10,2;67,2;24
13,4;7,6;22,7;22
14,1;9,9;44,4;26
13,0;9,6;44,5;28
14,8;9,6;44,3;23
13,8;7,8;22,6;14
3,8;5,9;55,8;25
1,8;3,4;66,9;16
0,9;3,3;20,7;17
0,8;3,3;2,1;18
1,0;3,4;24,7;21
0,9;3,3;13,8;16
1,1;3,3;27,5;16
1,0;3,4;22,7;17
1,1;4,1;21,4;19
1,1;5,7;33,8;24
1,1;5,5;79,3;19
1,1;3,7;45,2;17
7,7;3,5;89,8;17
14,2;3,2;55,7;18
14,2;3,3;32,9;21
14,1;3,3;21,6;16
